id,name,description,parent_id:id
1,1,"Agricoltura, caccia e relativi servizi",
16110,16110,"Servizi di supporto alla produzione vegetale",1
16210,16210,"Servizi di supporto alla produzione animale",1
16310,16310,"Servizi successivi alla raccolta",1
16410,16410,"Servizi di lavorazione di sementi a fini di moltiplicazione",1
17010,17010,"Caccia e cattura di animali e servizi associati",1
2,2,"Silvicoltura e relativi servizi",
21020,21020,"Servizi vivaistici per piante forestali",2
24010,24010,"Servizi di supporto per la silvicoltura",2
3,3,"Pesca, acquacoltura e relativi servizi",
30071,30071,"Servizi di supporto per la pesca",3
30072,30072,"Servizi di supporto per l'acquacoltura",3
9,9,"Servizi di supporto per le attività di estrazione",
91011,91011,"Servizi di perforazione connessi all'estrazione di petrolio e di gas naturale",9
91012,91012,"Servizi di costruzione, riparazione e smantellamento di torri di trivellazione e connessi servizi di supporto per l'estrazione di petrolio e di gas naturale",9
91013,91013,"Servizi di liquefazione e rigassificazione del gas naturale per il trasporto, effettuati sul posto dell'estrazione",9
99011,99011,"Servizi di supporto per l'estrazione di carbon fossile",9
99019,99019,"Servizi di supporto per l'estrazione di altri minerali e prodotti di cava, n.c.a.",9
10,10,"Alimentare e relativi servizi",
101199,101199,"Attività in subfornitura nell'ambito della produzione di carni trasformate e conservate",10
101299,101299,"Attività in subfornitura nell'ambito della produzione di carni di pollame trasformate e conservate",10
101391,101391,"Cottura ed altri servizi connessi alla preparazione di prodotti a base di carne",10
101399,101399,"Attività in subfornitura nell'ambito della produzione di prodotti a base di carne (anche di volatili)",10
102091,102091,"Affumicatura ed altri servizi di conservazione e preparazione per la fabbricazione di prodotti a base di pesce",10
102099,102099,"Attività in subfornitura nell'ambito della produzione di carni di pesce, crostacei e molluschi, trasformate e conservate",10
103191,103191,"Cottura ed altri servizi connessi alla preparazione di patate e prodotti a base di patate",10
103199,103199,"Attività in subfornitura nell'ambito della produzione di patate trasformate e conservate",10
103299,103299,"Attività in subfornitura nell'ambito della produzione dei succhi di frutta e di ortaggi",10
103991,103991,"Cottura ed altri servizi connessi alla preparazione di conserve di frutta e di ortaggi",10
103999,103999,"Attività in subfornitura nell'ambito della produzione di altre preparazioni e conserve di frutta e ortaggi",10
104199,104199,"Attività in subfornitura nell'ambito della produzione degli oli e dei grassi",10
104299,104299,"Attività in subfornitura nell'ambito della produzione della margarina e dei grassi commestibili simili",10
105199,105199,"Attività in subfornitura nell'ambito della produzione dei prodotti lattiero-caseari",10
105299,105299,"Attività in subfornitura nell'ambito della produzione dei gelati",10
106199,106199,"Attività in subfornitura nell'ambito della produzione dei prodotti della macinazione",10
106299,106299,"Attività in subfornitura nell'ambito della produzione di amidi e fecole",10
107199,107199,"Attività in subfornitura nell'ambito della produzione del pane fresco o congelato e dei prodotti di pasticceria",10
107299,107299,"Attività in subfornitura nell'ambito della produzione delle fette biscottate e dei biscotti",10
107399,107399,"Attività in subfornitura nell'ambito della produzione di paste alimentari, cuscus e prodotti farinacei simili",10
108199,108199,"Attività in subfornitura nell'ambito della produzione dello zucchero",10
108299,108299,"Attività in subfornitura nell'ambito della produzione del cacao, del cioccolato e delle confetterie",10
108399,108399,"Attività in subfornitura nell'ambito della produzione del caffè e del tè",10
108499,108499,"Attività in subfornitura nell'ambito della produzione dei condimenti",10
108599,108599,"Attività in subfornitura nell'ambito della produzione di pasti preparati",10
108699,108699,"Attività in subfornitura nell'ambito della produzione di preparazioni alimentari omogeneizzate e alimenti dietetici",10
108999,108999,"Attività in subfornitura nell'ambito della produzione di altri prodotti alimentari n.c.a.",10
109199,109199,"Attività in subfornitura nell'ambito della produzione di preparazioni per l'alimentazione del bestiame di allevamento",10
109299,109299,"Attività in subfornitura nell'ambito della produzione di alimenti per animali domestici",10
11,11,"Bevande e relativi servizi",
110199,110199,"Attività in subfornitura nell'ambito della produzione delle bevande alcoliche distillate",11
110299,110299,"Attività in subfornitura nell'ambito della produzione di vini di uve",11
110399,110399,"Attività in subfornitura nell'ambito della produzione di sidro e di altri vini a base di frutta",11
110499,110499,"Attività in subfornitura nell'ambito della produzione di altre bevande fermentate non distillate",11
110599,110599,"Attività in subfornitura nell'ambito della produzione della birra",11
110699,110699,"Attività in subfornitura nell'ambito della produzione del malto",11
110799,110799,"Attività in subfornitura nell'ambito della produzione delle acque minerali e bibite Analcoliche",11
12,12,"Industria del tabacco e relativi servizi",
120099,120099,"Attività in subfornitura nell'ambito della produzione dei prodotti a base di tabacco",12
13,13,"Tessile e relativi servizi",
131093,131093,"Servizi di preparazione delle fibre tessili naturali",13
131099,131099,"Attività in subfornitura nell'ambito della produzione dei filati",13
132099,132099,"Attività in subfornitura nell'ambito della produzione dei tessuti",13
133011,133011,"Servizi di candeggio e tintura delle fibre e dei filati tessili",13
133012,133012,"Servizi di candeggio dei tessuti e degli articoli tessili (inclusi gli articoli di abbigliamento)",13
133013,133013,"Servizi di tintura dei tessuti e degli articoli tessili (inclusi gli articoli di abbigliamento)",13
133014,133014,"Servizi di stampa dei tessuti e degli articoli tessili (inclusi gli articoli di abbigliamento)",13
